,link
0,https://www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/
1,https://www.udemy.com/course/excel-for-analysts/
2,https://www.udemy.com/course/excel-vba-and-macros-course/
3,https://www.udemy.com/course/data-analysis-with-excel-pivot-tables/
4,https://www.udemy.com/course/excel-essentials-the-complete-series-levels-1-2-3/
5,https://www.udemy.com/course/advanced-excel-charts-graphs/
6,https://www.udemy.com/course/thebestexcel/
7,https://www.udemy.com/course/microsoft-word-from-beginner-to-advanced-and-beyond/
8,https://www.udemy.com/course/microsoft-project-tutorial/
9,https://www.udemy.com/course/mastering-microsoft-teams/
10,https://www.udemy.com/course/microsoft-excel-power-query-power-pivot-dax/
11,https://www.udemy.com/course/microsoftaccess/
12,https://www.udemy.com/course/master-microsoft-excel-macros-and-vba-with-5-simple-projects/
13,https://www.udemy.com/course/excel-dashboards-reports/
14,https://www.udemy.com/course/case-study-powerpoint-2013-presentation-slide-by-slide/
15,https://www.udemy.com/course/sap-simplified-for-absolute-beginners/
